4127	6529
2612	27585
1842	3428
405	29644
2231	1322
4114	4783
3368	11091
937	28671
4508	3274
427	9044
2712	3083
13	18845
2954	2803
3522	4845
3547	21201
4369	5116
1301	15191
1490	12389
3150	23359
1678	31476
3377	7243
4517	31815
2951	29777
3415	23387
1758	5859
2376	13749
2658	805
212	21520
681	29621
3819	29989
73	19462
294	2140
2088	14625
291	4524
2515	7281
3199	12295
1514	29710
915	6337
651	20284
2136	10766
1484	1238
3810	8541
4097	17841
20	18612
408	14441
616	12079
4633	29065
3859	12186
1150	30693
1999	12341
3819	23345
1886	12793
4346	6438
1198	8574
1261	29238
290	2460
2397	25776
430	17185
620	6777
2763	2393
740	13564
1596	31892
1939	6690
1567	16131
4752	852
2132	10088
343	6472
2909	29725
2296	1244
3994	8002
115	21007
2326	27273
3129	1238
2260	9364
701	30693
3339	6175
806	16142
684	4845
4384	25305
815	11772
4083	14469
1855	2608
61	23359
4308	25439
404	11027
423	3187
3216	2539
2552	16783
2693	26072
2219	3422
1751	4909
2550	29136
2156	2393
4079	10500
655	11786
614	5028
3260	6691
3731	9480
901	14302
1896	8589
2188	23584
928	9789
95	7857
1460	19994
1476	9552
1840	32663
1833	29429
3382	11357
1359	23245
3921	12085
4651	3284
4688	27380
1550	8082
1766	10699
3514	29672
2138	25756
3014	23778
377	10696
983	103
3985	13667
3996	11623
384	30258
90	10851
1846	22325
1628	29649
1310	22823
3650	16490
1562	27037
522	1333
1506	19091
40	2775
3539	9669
3709	2648
833	30221
4097	10572
3850	25605
3376	19064
3110	11186
4269	15551
1879	12513
2575	6083
1956	22192
3012	12729
9	714
4576	3856
1712	24953
2721	29003
834	4615
663	10442
3050	3971
160	28798
717	6478
2149	8409
111	29304
3372	25693
1231	31468
2856	27541
4297	1679
927	1865
905	27939
790	15734
3205	30825
3819	12150
3050	10448
405	17896
3340	5647
4251	6109
631	7417
392	12237
1202	25950
2518	8290
2310	12489
3268	6109
3245	24825
2294	20282
1988	27139
3005	18273
4507	2753
3623	1711
931	16364
3267	29001
1785	15642
294	22311
2089	3455
1436	12729
3724	21548
71	2318
1146	8754
4270	4072
4512	3529
1621	11995
406	20874
4482	6529
4073	16881
4422	22149
3502	16084
3278	337
3077	23569
3820	27250
1357	9410
4702	21059
3766	5175
4387	1711
3865	24793
219	16195
1559	10016
3549	14159
2693	11995
1117	24086
3014	20186
2089	29136
1314	30009
611	26835
3608	15942
2359	22721
3347	22404
2076	16131
1886	21004
2005	28514
1952	3075
2362	16508
2016	9658
1829	27526
3994	4618
1533	19801
4394	26808
3196	24953
159	1837
3479	2410
2123	14603
569	10089
1462	20705
4051	30984
3966	22405
3300	14647
4090	3579
1991	1865
3004	20658
2494	27917
676	14086
493	25230
62	32153
2389	6472
2113	2830
2892	15950
1135	17556
3954	21517
1262	15322
888	23434
2105	19959
3825	1646
2709	27273
2743	1727
570	10939
353	32173
815	26378
1416	29894
3935	29928
3472	25230
2153	24322
1904	28087
4269	23933
375	21378
2765	8313
4306	17886
3370	4872
744	9658
997	8692
114	19367
19	2064
3297	2669
3049	32194
4083	7448
2044	16403
4765	20136
432	17794
4133	15874
1864	2315
4397	3257
1262	18222
3109	6169
2580	28537
2789	14400
802	17354
1877	30867
2147	2393
4189	26101
4490	6447
2912	10325
1977	617
2231	19654
42	27487
341	2542
2132	16863
3043	32685
150	12079
12	6212
2251	10082
3954	16764
1006	15781
1997	14289
592	20814
139	27320
3442	3153
947	9918
3786	24015
732	18313
3667	25063
2909	32591
2191	4845
905	32334
969	622
1116	17412
3875	25410
3378	24753
341	6885
2565	24538
619	331
532	2606
294	31738
2842	5486
2545	156
4579	31061
1621	4756
39	5604
1789	7221
2447	14930
4690	25715
422	15985
3816	5884
1208	18337
3188	4234
820	26469
3380	23778
1218	14031
3160	5721
3936	16987
931	31461
2538	27502
2974	14408
1765	24771
4578	21948
3805	9375
2909	2255
3676	23382
4121	5731
3103	29894
2035	29069
3071	22720
1429	30965
2197	24554
54	11136
1300	27232
1499	3431
4542	15944
2082	242
3049	10385
1113	20643
2094	17698
3014	20449
2110	28671
2119	11923
3887	12389
4499	18196
803	30286
765	14195
2231	21059
3122	27160
4523	3105
1046	18912
4669	23264
1391	25084
2749	16217
1189	15903
1450	30475
3309	3971
3392	16764
2432	5108
4279	6892
4558	5846
863	29777
2982	16815
3308	1684
1759	31604
4675	20694
2898	28798
3810	27508
3400	7679
2016	21340
3422	19060
2050	17789
2278	31598
1744	7282
3222	19051
2938	13790
4663	27467
3024	16412
2477	9724
2293	3248
2738	2913
3489	8241
1697	16412
1445	24594
3203	8314
1106	20694
4593	6565
3608	4270
1252	14037
623	12295
4303	23875
3493	25936
3923	28443
3150	8496
1084	29037
3619	4982
4357	5604
3301	11473
1132	9216
2220	29356
2659	23245
3505	31753
30	9910
4695	3256
2051	13810
466	224
2988	2964
3287	25954
4614	9339
2478	2214
2651	16967
949	4477
3704	11227
462	19357
241	23536
1596	26244
2382	18407
3240	32750
3819	13519
111	6520
3138	15527
4579	11740
4346	32433
567	28758
1261	26962
66	15742
2753	6808
2022	30973
1886	21199
1373	20694
4638	2606
4487	14928
1004	16024
2126	802
2336	12729
4548	27245
2784	5153
2368	904
838	4339
943	29378
404	2536
1583	9157
816	4131
143	957
9	7147
2105	19693
1170	16925
2342	4976
1685	28899
1952	15866
830	27320
924	9724
199	12055
1149	13690
612	26189
1324	21517
4226	3463
3190	24748
1396	31891
2094	25815
1704	24834
3382	11223
2927	11391
1561	25936
3147	24538
1117	2180
2605	6163
3475	28285
2405	29236
1760	29353
3359	31636
2097	17649
4157	31715
3874	7309
4158	19994
2304	14930
1993	21335
1506	9889
3066	30258
4441	17671
592	2427
1193	15166
4313	14955
2253	3117
2433	19110
3605	1541
4462	2402
28	8769
3896	20069
1418	22720
4723	30291
967	12711
1763	30865
4717	5792
1390	1152
3979	7797
3888	21197
28	5947
2446	68
3854	6109
4217	6847
1275	1290
3245	28285
4114	10280
3197	29136
1412	8961
4769	191
758	14730
535	20729
788	11587
4328	9512
3300	15583
4213	12051
1014	11186
3505	16320
885	25866
3491	6300
122	27743
2336	7961
63	20060
267	11748
765	26848
2120	22371
76	793
3018	23169
3378	14744
3234	7761
720	18407
2365	7747
34	12232
762	24880
4214	14795
1117	28280
4291	30822
2919	3458
2091	12801
3430	12055
1186	29701
495	1194
4574	2781
318	22308
2914	26654
4501	12729
3789	5507
2693	32668
1412	31892
3947	23557
812	17367
3143	11580
825	31295
1398	26217
188	9731
3192	7012
3022	27194
2007	28406
220	18126
105	3564
402	29337
4383	18363
121	12359
130	10402
2850	20506
684	4618
2153	29428
317	25491
3883	6757
2547	4543
4424	28077
775	9032
3538	20535
1244	12472
1427	26134
1555	6109
814	28747
1132	28316
4191	14203
4423	29346
3927	23569
647	6529
3038	12790
3808	31995
3399	25374
1839	12058
1432	25988
3045	7707
3771	17427
3368	31463
3849	26509
3412	4555
2718	4845
1113	25437
1994	10452
2132	26927
1399	3183
4086	32269
2263	19803
1343	15057
1774	3257
1806	12716
4036	3725
3963	3472
3260	14077
3593	13940
1940	31292
1879	24591
2130	1062
1646	24686
1140	22984
221	16812
755	6024
1233	156
4550	18548
1712	11255
4033	8404
4654	30292
917	18845
968	11690
989	5120
2535	16796
2496	14131
592	29543
3523	18514
4502	14086
111	18279
2962	9269
2270	26126
406	22277
1596	8702
1782	19019
423	28925
1917	15982
2226	7613
1237	9724
714	9358
1782	18273
1721	2934
1858	10790
663	25144
905	22622
1963	19367
3772	22542
2251	15720
4339	15307
3395	19155
1112	6191
1046	12836
2021	5128
682	331
253	11160
3787	15500
290	15497
1208	26808
3411	27240
1982	9203
1162	28905
2364	12167
171	21136
4553	6498
4294	3914
3210	27166
3867	25080
1988	14123
985	1767
2892	4841
3667	4534
2102	16049
2815	1675
642	32532
4478	19427
2518	4369
4558	30381
1946	1156
2420	21176
633	20251
1285	30210
